work_country,work_province,work_dedication,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,numero,salary_in_usd,salary_last_dollar_value,salary_pay_cripto,salary_%_cripto,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment,salary_percentage_inflation_adjustment,salary_month_last_inflation_adjustment,salary_comparison_last_semester,salary_benefit,salary_satisfaction,Trabajo de,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,company_employee_number,work_work_modality,Si trabajas bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,company_recommended,profile_studies_level,profile_studies_level_state,profile_career,profile_university,profile_boot_camp,profile_boot_camp_carrer,work_on_call_duty,salary_on_call_duty_charge,work_on_call_duty_charge_type,profile_age,profile_gender,cured_programming_languages,num_of_programming_languages,age_range,profile_studies_short,salary_monthly_DESCUENTOS,Provincia,Genero,Provincia3,Proporciones_salarios
Argentina,Chaco,Full-Time,Remoto (empresa de otro país),625000.0,625000.0,True,Cobro todo el salario en dólares,250,,,No,No recibo bono,No,0,No tuve,3,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Stock options / RSUs",2,Data Engineer,1.0,0.0,0.0,0.0,"Amazon Web Services, Docker, Linux, Snowflake,dbt,fivetran,redshift","Bash/Shell, Python, SQL","Flask, Spark","Amazon DynamoDB, Amazon Redshift, MariaDB, MongoDB, MySQL, PostgreSQL, SQLite, Snowflake","Postman, Pytest, Great Expectations",De 101 a 200 personas,100% remoto,0,8,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,,,,23,Varón Cis,"['bash/shell', 'python', 'sql']",3,menor a 25,Universitario,0.0,Interior,Varón Cis,Interior,1.0
Argentina,Chaco,Full-Time,Staff (planta permanente),222500.0,180700.0,True,,,,,De uno a tres sueldos,"performance individual, grupal y de la compañía ",No,0,No tuve,1,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Horarios flexibles",3,Developer,0.0,0.0,0.0,0.0,Ninguna de las anteriores,"Groovy, Java, Javascript","Node.js, Spark, Spring",Ninguna de las anteriores,JUnit,De 2 a 10 personas,100% remoto,0,9,Universitario,En curso,ingeniería electromecánica,UTN - Universidad Tecnológica Nacional,"informatorio, codo a codo, digital house",Java backend,No,0.0,Porcentaje de mi sueldo bruto,25,Varón Cis,"['groovy', 'java', 'javascript']",3,25 a 30,Universitario,0.18786516853932583,Interior,Varón Cis,Interior,0.8121348314606741
Argentina,Chaco,Full-Time,Staff (planta permanente),380000.0,317000.0,True,Cobro todo el salario en dólares,,,,No,No recibo bono,Uno,7,Enero,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas",3,Developer,4.0,2.0,2.0,0.0,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, HTML, Javascript, PHP, Python, TypeScript","Angular, Laravel, Next.js, Node.js","MariaDB, PostgreSQL","Cucumber, Cypress, Jest, Selenium",De 101 a 200 personas,100% remoto,0,7,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,,,,29,Varón Cis,"['bash/shell', 'html', 'javascript', 'php', 'python', 'typescript']",6,25 a 30,Universitario,0.16578947368421051,Interior,Varón Cis,Interior,0.8342105263157895
Argentina,Chaco,Full-Time,Staff (planta permanente),156000.0,150000.0,True,,,,,No,No recibo bono,Uno,23,Marzo,3,"Clases de idiomas, Horarios flexibles",3,Developer,5.0,1.0,1.0,0.0,Docker,"HTML, Javascript, PHP, SQL","Bootstrap, Laravel","MariaDB, MySQL",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,8,Universitario,En curso,Tecnicatura Superior en Programación,UTN - Universidad Tecnológica Nacional,,,,,,29,Varón Cis,"['html', 'javascript', 'php', 'sql']",4,25 a 30,Universitario,0.038461538461538464,Interior,Varón Cis,Interior,0.9615384615384616
Argentina,Chaco,Full-Time,Tercerizado (trabajo a través de consultora o agencia),200000.0,176000.0,True,,,,,No,No recibo bono,Dos,30,Febrero,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Licencia por nacimiento extendida",3,Developer,5.0,1.0,1.0,0.0,Ninguna de las anteriores,".NET, SQL",Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,6,,,,,,,,,,33,Varón Cis,"['.net', 'sql']",2,30 a 35,False,0.12,Interior,Varón Cis,Interior,0.88
Argentina,Chaco,Full-Time,Tercerizado (trabajo a través de consultora o agencia),300000.0,200000.0,True,Cobro parte del salario en dólares,,,,No,No recibo bono,Uno,8,Marzo,2,"Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias)",2,Developer,5.0,1.0,4.0,0.0,"Amazon Web Services, Docker, Linux","Python, SQL",Django,PostgreSQL,Postman,De 2001a 5000 personas,100% remoto,0,7,,,,,,,,,,24,Varón Cis,"['python', 'sql']",2,menor a 25,False,0.3333333333333333,Interior,Varón Cis,Interior,0.6666666666666666
Argentina,Chaco,Full-Time,Staff (planta permanente),227000.0,166000.0,True,Cobro parte del salario en dólares,,,,No,No recibo bono,Dos,13,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",3,QA / Tester,5.0,2.0,2.0,0.0,Azure,SQL,Ninguno de los anteriores,"Microsoft SQL Server, MongoDB, MySQL","Katalon, Postman, Test Complete, TFS",De 1001 a 2000 personas,100% remoto,0,8,,,,,,,,,,34,Varón Cis,['sql'],1,30 a 35,False,0.2687224669603524,Interior,Varón Cis,Interior,0.7312775330396476
Argentina,Chaco,Full-Time,Staff (planta permanente),190000.0,156000.0,True,Cobro parte del salario en dólares,220,,,No,No recibo bono,Uno,37,Abril,2,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Lactario en la oficina",2,QA / Tester,2.0,2.0,2.0,0.0,"Google Cloud Platform, Linux, Grafana","Java, Javascript, Groovy","Node.js, React.js, Spring",MongoDB,"Appium, Cucumber, JUnit, Postman, Selenium, WebDriver.IO,",Más de 10000 personas,Híbrido (presencial y remoto),4,10,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,--,,,,25,Varón Cis,"['java', 'javascript', 'groovy']",3,25 a 30,Universitario,0.17894736842105263,Interior,Varón Cis,Interior,0.8210526315789474
Argentina,Chaco,Full-Time,Remoto (empresa de otro país),285000.0,245000.0,True,,,,,No,No recibo bono,No,0,No tuve,4,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,SysAdmin / DevOps / SRE,12.0,0.0,8.0,0.0,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Linux, VMWare, vcloud",Python,Ninguno de los anteriores,"MySQL, Redis",Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,10,,,,,,,,,,35,Varón Cis,['python'],1,35 a 40,False,0.14035087719298245,Interior,Varón Cis,Interior,0.8596491228070176
Argentina,Chaco,Full-Time,Staff (planta permanente),212765.96,172601.0,True,,,,,No,No recibo bono,Uno,46,Febrero,2,"Horarios flexibles, Viáticos",2,Administrador de Infraestructura,0.0,3.0,0.0,0.0,"Azure, Linux, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),5,8,Secundario,Completo,,,,,"Sí, activa",0.0,Porcentaje de mi sueldo bruto,33,Varón Cis,[],0,30 a 35,Pregrado,0.18877530973469625,Interior,Varón Cis,Interior,0.8112246902653037
Argentina,Chaco,Full-Time,Staff (planta permanente),95000.0,79000.0,True,,,,,No,No recibo bono,No,0,No tuve,3,Horarios flexibles,2,Data Engineer,0.0,0.0,0.0,0.0,Amazon Web Services,"Python, SQL, DAX",Pandas,"MariaDB, Microsoft SQL Server, PostgreSQL",Postman,De 11  a 50  personas,100% remoto,0,5,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Alkemy,Data Analytics + Python,No,0.0,Porcentaje de mi sueldo bruto,27,Varón Cis,"['python', 'sql', 'dax']",3,25 a 30,Universitario,0.16842105263157894,Interior,Varón Cis,Interior,0.8315789473684211
Argentina,Chaco,Full-Time,Freelance,300000.0,285000.0,True,,,,,Menos de un sueldo,Performance grupal,Uno,90,Febrero,4,"Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,Developer,20.0,1.0,1.0,0.0,"Amazon Web Services, Linux","CSS, HTML, Javascript, SQL, TypeScript","Bootstrap, Node.js, React.js, i18next","MongoDB, PostgreSQL",Jest,De 11  a 50  personas,100% remoto,0,10,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,No,0.0,Neto,51,Varón Cis,"['css', 'html', 'javascript', 'sql', 'typescript']",5,mayor a 40,Universitario,0.05,Interior,Varón Cis,Interior,0.95
Argentina,Chaco,Full-Time,Staff (planta permanente),280000.0,227000.0,True,,,,,Menos de un sueldo,Performance de la compañía,Tres,38,Julio,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles",3,SysAdmin / DevOps / SRE,2.0,1.0,1.0,0.0,"Amazon Web Services, Docker, Google Cloud Platform, Kubernetes, Linux, Serverless",Bash/Shell,Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora",Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,10,,,,,,,,,,39,Varón Cis,['bash/shell'],1,35 a 40,False,0.18928571428571428,Interior,Varón Cis,Interior,0.8107142857142857
Argentina,Chaco,Full-Time,Tercerizado (trabajo a través de consultora o agencia),277000.0,230000.0,True,,,,,No,No recibo bono,Dos,45,Julio,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá)",2,Developer,2.0,0.0,0.0,0.0,"Azure, Docker, Firebase, Google Cloud Platform",Javascript,Node.js,"PostgreSQL, SQLite",Postman,De 101 a 200 personas,100% remoto,0,7,Universitario,En curso,Ingeniería en Sistemas de Información,Uncaus,,,No,0.0,Porcentaje de mi sueldo bruto,26,Varón Cis,['javascript'],1,25 a 30,Universitario,0.16967509025270758,Interior,Varón Cis,Interior,0.8303249097472925
Argentina,Chaco,Full-Time,Staff (planta permanente),220000.0,183000.0,True,,,,,Menos de un sueldo,Mix de las anteriores,Dos,30,Marzo,3,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,BI Analyst / Data Analyst,0.0,0.0,0.0,0.0,"Amazon Web Services, Docker, Linux","Bash/Shell, Python, SQL",Serverless framework,"Amazon Redshift, MySQL, PostgreSQL","Postman, Pytest",De 51 a 100 personas,100% remoto,0,8,,,,,,,,,,43,Varón Cis,"['bash/shell', 'python', 'sql']",3,mayor a 40,False,0.16818181818181818,Interior,Varón Cis,Interior,0.8318181818181818
Argentina,Chaco,Full-Time,Staff (planta permanente),231000.0,190000.0,True,,,,,No,No recibo bono,No,0,No tuve,3,"Abono de Internet, Capacitaciones y/o cursos",3,Developer,15.0,0.0,0.0,0.0,Ninguna de las anteriores,GENEXUS,Ninguno de los anteriores,"Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,8,Universitario,En curso,Analista de Sistemas,UTN - Universidad Tecnológica Nacional,,,No,0.0,Porcentaje de mi sueldo bruto,37,Varón Cis,['genexus'],1,35 a 40,Universitario,0.1774891774891775,Interior,Varón Cis,Interior,0.8225108225108225
Argentina,Chaco,Full-Time,Staff (planta permanente),154000.0,140000.0,True,Mi sueldo está dolarizado (pero cobro en moneda local),,,,No,No recibo bono,Más de tres,0,Junio,1,Ninguna de las anteriores,1,Developer,25.0,20.0,18.0,0.0,Windows Server,".NET, C#, Kotlin, SQL",.NET Core,"Microsoft SQL Server, MySQL, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,100% presencial,0,0,,,,,,,,,,48,Varón Cis,"['.net', 'c#', 'kotlin', 'sql']",4,mayor a 40,False,0.09090909090909091,Interior,Varón Cis,Interior,0.9090909090909091
Argentina,Chaco,Full-Time,Remoto (empresa de otro país),203000.0,178000.0,True,,,,,3+ sueldos,Performance grupal,Dos,50,Julio,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,Business Analyst,10.0,2.0,7.0,0.0,Ninguna de las anteriores,SQL,Ninguno de los anteriores,"Microsoft SQL Server, PostgreSQL",Ninguna de las anteriores,De 5001 a 10000 personas,100% remoto,0,7,,,,,,,,,,34,Varón Cis,['sql'],1,30 a 35,False,0.12315270935960591,Interior,Varón Cis,Interior,0.8768472906403941
Argentina,Chaco,Full-Time,Staff (planta permanente),193000.0,163000.0,True,,,,,Menos de un sueldo,Performance grupal,Uno,17,Julio,3,"Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,Business Analyst,1.0,1.0,1.0,0.0,"AIX, Azure, IBM Cloud / Watson, SAP, VMWare, Windows Server",".NET, C#, CSS, HTML, Python, SQL, VBA",".NET Core, Bootstrap, Django, jQuery, SAP","MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL",Ninguna de las anteriores,De 2001a 5000 personas,Híbrido (presencial y remoto),3,8,,,,,,,,,,31,Varón Cis,"['.net', 'c#', 'css', 'html', 'python', 'sql', 'vba']",7,30 a 35,False,0.15544041450777202,Interior,Varón Cis,Interior,0.844559585492228
Argentina,Chaco,Full-Time,Staff (planta permanente),195000.0,190000.0,True,,,,,Menos de un sueldo,Performance de la compañía,Dos,45,Julio,3,"Abono de celular, Clases de idiomas, Horarios flexibles",2,Developer,4.0,2.0,2.0,0.0,Windows Server,".NET, C#, CSS, HTML, Javascript, SQL",".NET Core, Bootstrap",SQLite,Ninguna de las anteriores,De 2 a 10 personas,100% presencial,5,6,,,,,,,,,,30,Varón Cis,"['.net', 'c#', 'css', 'html', 'javascript', 'sql']",6,30 a 35,False,0.02564102564102564,Interior,Varón Cis,Interior,0.9743589743589743
Argentina,Chaco,Full-Time,Remoto (empresa de otro país),450000.0,380000.0,True,Mi sueldo está dolarizado (pero cobro en moneda local),128,,0,No,No recibo bono,No,0,No tuve,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online",2,Developer,10.0,0.0,5.0,0.0,"Azure, Kubernetes",".NET, C#, HTML, Javascript, TypeScript",".NET Core, Angular, Node.js","ElasticSearch, Microsoft Azure (Tables, CosmosDB, SQL, etc)",Karma,1 (solamente yo),100% remoto,0,8,,,,,,,,,,36,Varón Cis,"['.net', 'c#', 'html', 'javascript', 'typescript']",5,35 a 40,False,0.15555555555555556,Interior,Varón Cis,Interior,0.8444444444444444
Argentina,Chaco,Full-Time,Staff (planta permanente),256200.0,212146.0,True,Cobro parte del salario en dólares,104.5,,0,Menos de un sueldo,ajuste de cotización,Más de tres,5,Mayo,3,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",3,Developer,10.0,3.0,3.0,0.0,"Amazon Web Services, Docker, Linux","HTML, Javascript, PHP, Python, SQL",React.js,"MySQL, Redis","PHPUnit, Postman",De 51 a 100 personas,Híbrido (presencial y remoto),1,7,,,,,,,,,,40,Varón Cis,"['html', 'javascript', 'php', 'python', 'sql']",5,mayor a 40,False,0.17195160031225604,Interior,Varón Cis,Interior,0.8280483996877439
Argentina,Chaco,Full-Time,Staff (planta permanente),180852.0,155486.0,True,,,,,No,No recibo bono,Dos,59,Julio,3,"Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias)",4,Developer,10.0,1.0,1.0,0.0,Ninguna de las anteriores,".NET, C#",Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,10,,,,,,,,,,40,Varón Cis,"['.net', 'c#']",2,mayor a 40,False,0.140258332780395,Interior,Varón Cis,Interior,0.859741667219605
Argentina,Chaco,Full-Time,Staff (planta permanente),243000.0,198000.0,True,,,,0,Menos de un sueldo,Performance individual,No,0,No tuve,1,"Lactario en la oficina, Licencia por nacimiento extendida",1,Developer,3.0,3.0,1.0,0.0,"Linux, VMWare, Windows Server","SQL, Genexus",Ninguno de los anteriores,"Microsoft SQL Server, Oracle",Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),4,6,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,No,0.0,Bruto,33,Varón Cis,"['sql', 'genexus']",2,30 a 35,Universitario,0.18518518518518517,Interior,Varón Cis,Interior,0.8148148148148148
Argentina,Chaco,Full-Time,Staff (planta permanente),279000.0,225000.0,True,,,,0,No,No recibo bono,Tres,20,Julio,4,Ninguna de las anteriores,3,SysAdmin / DevOps / SRE,15.0,10.0,10.0,0.0,"*BSD, Linux, VMWare, Windows Server","Bash/Shell, Python",Ninguno de los anteriores,"Microsoft SQL Server, MySQL, Oracle, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,100% presencial,0,7,,,,,,,,,,45,Varón Cis,"['bash/shell', 'python']",2,mayor a 40,False,0.1935483870967742,Interior,Varón Cis,Interior,0.8064516129032258
Argentina,Chaco,Full-Time,Staff (planta permanente),75000.0,65000.0,True,,,,,Menos de un sueldo,Performance individual,Uno,14,Mayo,2,Horarios flexibles,1,Technical Leader,8.0,5.0,5.0,0.0,"Amazon Web Services, Docker, Linux","Bash/Shell, CSS, HTML, Java, Javascript, PHP, Python, SQL","Drupal, Flask, jQuery, Laravel, Node.js, Spring, Vue.js",MySQL,"Cypress, PHPUnit, Postman, Selenium",De 11  a 50  personas,Híbrido (presencial y remoto),0,5,,,,,,,No,0.0,Bruto,30,Varón cis,"['bash/shell', 'css', 'html', 'java', 'javascript', 'php', 'python', 'sql']",8,30 a 35,False,0.13333333333333333,Interior,Varón Cis,Interior,0.8666666666666667
